#{"t_start": 1721369597.867865, "env_id": null}
r,l,t,d
-6717.687526,560,5.618558,33.17547509112504
-17264.320999,1195,13.734575,74.3889832899657
-46425.963368,4017,39.972752,24.70222734473534
-1232.627755,180,41.114279,4.97020492989834
-11984.797747,352,43.431735,37.04660657460141
-23976.047575,1348,52.055183,18.557293914783752
-3956.023272,2234,66.37787,2.661579363154866
-4256.747072,1351,75.062603,13.025475360905478
-1356.38989,324,77.149013,4.702564801112383
-16511.875047,2974,96.210509,3.735619573326689
-1404.913759,408,98.840932,7.487247767309604
-2178.007316,651,102.974188,6.331438825259466
-23921.677322,2702,120.365772,15.20697636352262
-5444.485716,888,126.099182,6.717450892182484
-4351.575075,2215,140.28876,10.164649464945228
-15922.036949,1339,148.836515,19.78773045138515
-19420.556208,927,154.825579,15.391300690276896
-1781.949211,2068,168.045168,0.43080919918120186
-15527.982009,1927,180.397213,1.8916290823335633
-1502.03016,591,184.158123,0.5562266374707183
-4101.439422,2755,201.828163,3.0599426958844234
-580.020476,676,206.151307,0.49870532509337995
-8735.510785,436,208.949078,23.352835123176497
-1038.69479,166,210.084395,3.330609420865431
-12024.80532,1631,220.54465,4.620198113544005
-1508.426348,487,223.676111,3.5873732688834665
147.091144,530,227.133196,0.5024158161377548
-766.610616,915,232.971933,3.4076272954666935
-2082.067084,769,237.954818,5.240020658627856
-9275.818989,656,242.232334,14.272422419129445
-3255.113427,1207,249.976834,2.0443976051377764
-1302.94799,394,252.463923,2.748946880522965
-9686.680547,700,256.889179,7.62790046509606
-1721.315718,686,261.351277,1.7910101429973022
-378.891636,547,264.815073,0.6786346979298161
-359.672967,800,269.980504,0.4761649149423796
-2157.818337,2148,283.809471,0.4170581039036059
-263.518995,551,287.631648,0.7432203398645777
-24772.828477,851,293.643234,16.22380913452931
-1246.517918,368,295.97943,2.8217929668799426
109.926146,427,298.787748,0.3153802279727829
-2013.326094,906,304.565772,2.432183200492414
-1808.630559,737,309.343148,6.097568061535332
-727.864438,815,314.618416,0.8723823539748006
-1672.188484,578,318.263167,1.077261523500296
-1001.038695,1,318.270167,8.366234435447907
-1327.617212,353,320.546453,3.5573504114989984
88.482552,631,324.602029,0.3373456991514842
