#{"t_start": 1730106924.3697333, "env_id": null}
r,l,t,d
-19980.489006,588,5.970227,9.163350096867484
-12663.006037,304,8.01855,10.30261243663082
-19079.838385,447,11.074655,10.984123950536603
-11604.242599,269,12.912677,10.586736620248733
-10411.880707,333,15.253696,8.804453405508536
-12120.464978,286,17.386549,10.67413750754415
-11400.944178,292,19.646591,11.135266069226644
-10554.937165,311,21.826714,10.49736861335939
-22120.18949,719,26.869301,11.110097970458085
-12820.227652,305,29.031534,10.114447478245545
-14413.356233,659,33.844727,8.468381041939555
-10995.739134,288,35.835847,11.228730559226632
-17563.032685,973,43.088849,8.053025394692574
-73822.042189,3920,71.759138,8.469998158346295
-37616.514943,2731,91.186897,5.711288854600657
-31063.974233,1043,98.935789,11.281131395463131
-19238.264575,622,103.243424,10.993589155798837
-22580.36677,533,106.985933,11.195866357678753
-14931.761322,513,110.651231,10.261981063214382
-27342.629849,952,117.158368,11.234685532251284
-18488.051951,455,120.28767,11.706378787099737
-16444.904466,532,123.920614,10.886917117228554
-19567.035314,485,127.144334,10.67709734468307
-78551.099947,1983,140.637741,10.984357559309261
-12936.979711,329,142.768515,11.53115321511824
-15911.742099,387,145.302419,10.0202578040662
-33971.653113,1717,156.787599,1.8813101909085908
-19544.988625,476,160.00904,10.892613520032361
-11553.713388,268,161.996189,10.902436012488897
-12270.480851,300,164.025997,10.615165481059861
-16070.299113,386,166.624095,10.008040359589732
-11558.044726,279,168.509218,10.726398378405058
-12258.943919,286,170.434596,10.868882803300806
-11419.403325,273,172.251513,10.762863175758014
-11984.17323,291,174.224426,10.645194684192953
-11211.499687,258,175.951772,10.936945889410122
-11989.263707,278,177.754122,10.989373281618773
-11946.659894,283,179.592878,11.004074292236641
-11758.64171,273,181.388916,10.967208204608303
-12322.3865,286,183.271643,10.769630217830922
-12849.375829,312,185.390674,11.011569578599687
-11547.909691,272,187.233201,10.925083725062736
-13761.836584,330,189.445101,10.752769488099304
-12807.015261,298,191.482264,11.193953359511147
-12159.277938,282,193.350266,11.032246306272118
-12473.973827,290,195.233181,11.047149923624811
-14406.550849,354,197.557587,10.968902039495998
-12956.32794,304,199.511352,11.087010271960189
-13919.288273,327,201.648875,11.086995082298415
-13353.524698,328,203.754666,10.942730454367975
-12067.876328,279,205.560933,11.134715001349416
-12517.145238,291,207.463521,11.134470219804838
-13275.510764,323,209.649,10.9266991591201
-13034.328175,306,211.659028,11.17812814764122
-12823.534912,298,213.63344,11.209585163238575
-13150.363328,321,215.811981,11.001266960789842
-12461.303676,291,217.752294,11.110026279415479
-18323.220583,454,220.755353,9.768201921547558
-12894.656854,303,222.78674,11.131519853321805
-13065.246148,304,225.223442,11.206188341820681
-14058.742555,332,227.444379,11.343549366533148
-13203.030898,308,229.521522,11.340048999075227
-13917.887725,339,231.787678,11.08312403198314
-13956.304282,336,234.005337,11.173204986532472
-13085.382018,303,236.042095,11.3225806292146
-13147.084072,322,238.152682,10.778730067422565
-15037.181856,368,240.53849,11.036773825534421
-12250.13327,283,242.401262,11.177111088113577
-14928.719188,352,244.747754,11.035146961615682
-13864.483156,331,246.955525,11.16839725548303
-14599.847723,353,249.310152,11.194612494902252
-13605.886211,322,251.464755,11.11664526615354
-22404.190792,552,255.108389,9.565821841300409
-14826.829069,363,257.468507,11.233722828913933
-15027.600591,368,259.882218,11.16478874724307
-12986.384883,302,261.825818,11.318739664784829
-15722.77223,380,264.305985,9.53842778897019
-13181.569952,306,266.278634,11.278255778683636
-20620.551944,986,272.776551,6.166473369409231
-14472.025075,355,275.095891,11.149067460350693
-13953.416612,326,277.265758,11.449772826504422
-13553.924001,330,279.399842,11.198227653213713
-16005.560706,392,281.963833,11.08157164415018
-31253.902111,1184,290.732626,6.251640676038991
-15392.520497,364,293.430679,11.488986390756676
-13508.103649,316,295.743132,11.460027435873496
-15107.981201,369,298.381433,11.308053299327582
-14662.999891,346,300.81825,11.171147587934074
-12322.79072,288,302.819759,10.75515800196277
-15967.301114,396,305.667545,11.114664658286543
-14718.005823,356,308.15915,11.385079727614556
-14389.571831,366,310.73122,9.314909061986846
-14772.930369,360,313.515451,11.253185096142586
-14504.530041,340,316.285431,11.492290916904595
-17717.282682,433,319.504179,11.65736723755961
-13984.415545,327,321.819931,11.440560113963814
-16110.59162,382,324.588752,11.196743752164268
-15823.033559,384,327.473125,11.506923599279252
-14334.444373,334,329.943064,11.431100318302303
-13445.989833,314,332.32525,11.490592220047155
-16705.992349,414,335.552918,11.7334300029451
-15688.324409,385,338.506752,11.265797672817413
-18217.075199,455,341.857332,11.306759235112898
-25949.704291,916,348.666569,5.921604557419028
-18957.032919,463,352.171228,11.383036763821595
-16152.459749,398,355.065943,11.375605819125628
-13243.082976,308,357.37062,11.27100438908203
-13514.02341,316,359.726323,11.447006231126213
-17429.529762,430,362.953253,11.19126595433039
-15775.369525,376,365.8238,11.359264338438882
-26625.309203,672,371.032671,11.477158035408543
-16840.581955,411,374.197654,11.39459201879581
-15250.618558,381,377.116671,11.437756671805325
-17584.37927,426,380.36324,11.284764811133893
-15124.030912,355,383.006496,11.541923114887815
-17752.804625,566,386.971661,9.067122360133066
-13888.344683,873,393.130879,4.07804424744768
-16151.313274,398,395.909271,11.3719532104557
-16367.467642,396,398.653111,11.132141285126966
-17321.448911,408,401.473563,11.343564108640265
-17928.556738,441,404.5286,11.299691544731548
-15390.537099,376,407.169976,11.329260652518585
-16089.970616,413,410.044174,11.28257258622922
-16665.044334,408,412.89208,11.286194498204269
-18155.28823,461,416.116868,11.259905875310515
-19448.805476,499,419.589134,11.13295183100644
-17885.751692,432,422.633706,11.572437940838476
-21256.876545,531,426.417468,11.295022615134707
-18337.593228,456,429.58923,11.452194980488972
-53489.629724,1595,440.18951,8.691520836473037
-16406.423126,426,443.044181,10.78910917405439
-34857.679114,2753,461.479903,6.355990494381377
-34242.336055,870,467.391492,11.632913788595914
-23792.271845,608,471.414128,9.076996395544173
-13369.351723,349,473.694798,9.072481436083844
-10441.63515,322,475.861856,8.988056166431896
-38705.121649,2825,494.889046,5.963989020244139
-12842.458581,450,497.934822,8.887849883897697
-24040.737609,926,504.189387,6.057363336323439
-19886.259272,654,508.562143,9.036141905704927
-31813.285549,1090,515.902048,8.99010367429834
-16999.693914,498,519.247113,9.041233426657596
-39431.507074,2246,534.115927,3.9465770908339954
-77679.699965,5001,567.854406,1.369799854455025
-34290.02494,3144,589.67788,5.1729385683848905
-21303.746348,1351,599.374415,4.940933454639981
-27634.94359,825,604.871117,11.573206655126608
-64925.174952,5001,639.588811,3.686257619839709
-21203.414452,655,643.902872,8.821414997893834
-20187.445382,1008,650.474254,5.867134395955983
-96857.010015,5001,683.298447,5.420480049428113
-18718.56257,583,687.065881,8.76516515396476
-15264.313815,504,690.309839,8.757188116151656
-46339.48949,5001,722.643467,4.2528838130989595
-25782.689887,1131,730.104824,5.931927697752465
-23756.245082,653,734.73041,9.279436801524595
-33782.697128,891,740.885874,8.98004326557436
-32974.57068,886,747.201847,9.190650253276022
-67985.460859,5001,791.890646,5.347036219866403
-38404.187056,3430,824.878563,5.967040258800864
-59305.910854,5001,857.629048,4.669591584696671
-41793.383009,3637,882.8847,2.109830376486706
-9856.804366,310,885.031414,8.781226678751729
-19598.170763,1018,892.128224,6.228280503045522
-27713.610627,1460,902.282524,6.111715875282487
-19714.238653,1393,911.935271,5.999269006851387
-46648.45851,3774,938.189526,5.2741985086367045
-84845.869774,3068,959.502512,5.551405024330459
-19986.087315,542,963.263995,9.329278675407394
-40304.824584,2266,979.067602,5.620300909062717
-55224.491412,2904,999.321111,5.7509015798792396
-50362.965486,1819,1011.952279,6.57614290951953
-35178.502468,1468,1022.151761,5.834888244982979
-107298.724091,2636,1040.456621,10.828234595422504
-25186.91971,1102,1048.135086,6.109880586169432
-52318.500732,1745,1060.255985,6.173751438388326
-31087.589052,2139,1075.124949,4.990020864997819
-42231.064521,1855,1087.992449,5.6998973584271875
-30983.836885,2194,1103.271615,5.931986489972415
-37386.705929,2344,1121.484899,4.387755522654611
-18906.603462,510,1125.608906,8.870879825720474
-41053.137082,1995,1140.504997,6.110808127077037
-41338.406847,1235,1149.510422,10.098177272833697
-23893.669659,1086,1157.415054,5.8398519265834725
-44600.517519,5001,1192.622601,4.083749928249626
-22719.949119,681,1197.399102,8.699487570997581
-49167.006858,4427,1228.610019,0.4265147230998365
-25704.63842,1383,1238.358437,6.33755031938378
-19964.925344,1141,1246.393087,5.891027054693954
-18023.643044,550,1250.258968,8.964183879167763
-21458.712445,854,1256.280041,6.25406453446492
-28834.374778,1171,1264.473916,6.1724804050219415
-16129.343146,425,1267.48318,9.47394347505668
-42600.929651,5001,1305.006094,2.474020702472621
-38403.553787,1122,1313.769903,9.184718126260798
-19437.187117,607,1318.474612,9.078895908627526
-54277.096958,1743,1331.717747,8.795530026804396
-33621.348422,1247,1341.109297,6.210896400102808
-20844.437051,658,1346.400125,9.115068422415142
-13089.240659,338,1348.899871,9.379267948898198
-16272.893427,576,1353.226702,9.125665645034704
-37692.159803,2245,1369.981647,4.584519858062965
-37787.421439,1947,1384.475736,6.262782450456394
-21806.54666,1196,1393.478292,6.09130339540859
-11949.618629,364,1396.189872,9.179005087362288
-18824.606148,467,1399.71692,9.432901478804116
-35831.38165,1105,1408.064198,9.13160793257148
-16930.894484,474,1412.040949,8.886127686707951
-19133.150852,480,1415.508921,9.154071285926326
-25981.208132,1731,1427.84754,6.053784543733086
-18946.577872,541,1431.652759,9.050593436717573
-65964.241332,4266,1461.819676,2.4623857233131003
-13128.292698,374,1464.495549,9.031158200465892
-20899.440896,717,1469.62163,9.176022439676952
-10073.374659,309,1471.834131,9.065120168501045
-14222.436095,488,1475.29657,9.164488170938167
-13070.79214,373,1477.94557,9.065346475682151
-13437.752133,390,1480.703273,8.819638625660176
-12539.826722,358,1483.231454,9.060476676861462
-18566.284394,582,1487.375905,9.166645184274262
-14658.763399,414,1490.318496,8.866541051584916
-12726.610688,366,1492.959574,9.088447014263249
-11874.463589,348,1495.432502,9.112536200702921
-22581.395975,870,1501.610924,6.127312228522087
-24178.510358,1019,1508.877489,6.265795377920651
-14155.72408,395,1511.696594,9.016817096996965
-17501.761413,816,1517.476089,6.043249655875313
-13737.651631,631,1521.986762,5.850864214319463
-13258.050407,613,1526.352564,6.054463497098452
-10594.974886,334,1528.742666,8.778875558651457
-12129.92096,354,1531.242484,9.103944651294674
-16786.510732,821,1537.084252,6.1033255631659165
-17022.498698,781,1542.600038,6.816589928187588
-10408.071135,326,1544.915365,8.75864826595802
-20720.322631,946,1551.887501,7.6245958649384225
-14108.300342,764,1557.653246,6.884976225763221
-14904.491343,771,1563.87539,5.915127797142029
-17830.760252,488,1567.710901,8.791891243343697
-10679.123002,330,1570.264302,8.894197262232058
